FE_REPORTE,CAMAS_ADULTOS_COVID,CAMAS_ADULTOS_NOCOVID,CAMAS_ADULTOS_OCC,CAMAS_ADULTOS_DISP,CAMAS_ADULTOS_TOTAL,CAMAS_ICU_COVID,CAMAS_ICU_NOCOVID,CAMAS_ICU_OCC,CAMAS_ICU_DISP,CAMAS_ICU_TOTAL,CAMAS_PED_COVID,CAMAS_PED_NOCOVID,CAMAS_PED_OCC,CAMAS_PED_DISP,CAMAS_PED_TOTAL,CAMAS_PICU_COVID,CAMAS_PICU_NOCOVID,CAMAS_PICU_OCC,CAMAS_PICU_DISP,CAMAS_PICU_TOTAL,VENT_ADULTOS_COVID,VENT_ADULTOS_NOCOVID,VENT_ADULTOS_OCC,VENT_ADULTOS_DISP,VENT_ADULTOS_TOTAL,VENT_PED_COVID,VENT_PED_NOCOVID,VENT_PED_OCC,VENT_PED_DISP,VENT_PED_TOTAL,CUARTOS_PRESNEG_OCC,CUARTOS_PRESNEG_DISP,CUARTOS_PRESNEG_TOTAL,VENT_ORD,VENT_REC,VENT_ENTR,CONVALECIENTES
"2021-03-17 00:00:00",130,3840,3970,2817,6787,18,450,468,208,676,17,377,394,846,1240,0,38,38,57,95,18,356,374,868,1242,0,43,43,106,149,208,365,573,194,161,161,92622
"2021-03-18 00:00:00",131,3989,4120,2821,6941,16,464,480,198,678,16,388,404,823,1227,0,38,38,54,92,17,362,379,867,1246,0,44,44,102,146,214,334,548,194,161,161,92787
"2021-03-19 00:00:00",119,4087,4206,2664,6870,17,463,480,194,674,19,424,443,810,1253,0,42,42,51,93,21,371,392,856,1248,0,43,43,105,148,210,340,550,194,161,161,93037
"2021-03-20 00:00:00",130,4023,4153,2693,6846,15,451,466,217,683,13,427,440,822,1262,0,44,44,46,90,19,364,383,878,1261,0,43,43,109,152,214,314,528,194,161,161,93091
"2021-03-21 00:00:00",120,3923,4043,2764,6807,17,449,466,219,685,11,460,471,767,1238,0,39,39,48,87,22,373,395,826,1221,0,39,39,110,149,213,305,518,194,161,161,93102
"2021-03-22 00:00:00",122,3754,3876,2746,6622,19,456,475,216,691,15,411,426,789,1215,1,40,41,46,87,23,349,372,822,1194,1,39,40,114,154,212,322,534,194,161,161,93319
"2021-03-23 00:00:00",124,3702,3826,3004,6830,15,437,452,220,672,20,394,414,828,1242,1,36,37,59,96,21,358,379,845,1224,1,35,36,118,154,211,313,524,194,161,161,93508
"2021-03-24 00:00:00",155,3849,4004,2891,6895,18,440,458,215,673,22,377,399,814,1213,1,33,34,57,91,18,328,346,905,1251,0,32,32,113,145,225,312,537,194,161,161,93695
"2021-03-25 00:00:00",168,3919,4087,2798,6885,23,446,469,221,690,17,426,443,806,1249,1,33,34,61,95,19,347,366,889,1255,0,37,37,112,149,211,318,529,194,161,161,93833
"2021-03-26 00:00:00",165,4007,4172,2657,6829,25,458,483,204,687,21,428,449,788,1237,1,41,42,53,95,20,331,351,889,1240,0,36,36,117,153,215,309,524,194,161,161,93986
"2021-03-27 00:00:00",163,3971,4134,2718,6852,29,474,503,191,694,20,409,429,816,1245,1,41,42,51,93,22,326,348,906,1254,0,38,38,115,153,240,288,528,194,161,161,94029
"2021-03-28 00:00:00",171,3725,3896,2760,6656,30,440,470,208,678,22,381,403,788,1191,1,41,42,55,97,21,320,341,909,1250,0,42,42,112,154,232,320,552,194,161,161,94041
"2021-03-29 00:00:00",187,3536,3723,2988,6711,33,445,478,216,694,16,400,416,811,1227,1,39,40,55,95,23,320,343,901,1244,0,39,39,116,155,239,306,545,194,161,161,94204
"2021-03-30 00:00:00",201,3545,3746,3024,6770,39,458,497,220,717,18,395,413,865,1278,0,39,39,54,93,26,313,339,928,1267,0,39,39,118,157,235,313,548,194,161,161,94376
